day_key,start_time,hour,day,week,month,year,weekdate
2018111308,2018-11-13 08:00:00,8,13,46,11,2018,1
2018111309,2018-11-13 09:00:00,9,13,46,11,2018,1
2018111310,2018-11-13 10:00:00,10,13,46,11,2018,1
2018111311,2018-11-13 11:00:00,11,13,46,11,2018,1
2018111312,2018-11-13 12:00:00,12,13,46,11,2018,1
2018111313,2018-11-13 13:00:00,13,13,46,11,2018,1
2018111314,2018-11-13 14:00:00,14,13,46,11,2018,1
2018111315,2018-11-13 15:00:00,15,13,46,11,2018,1
2018111316,2018-11-13 16:00:00,16,13,46,11,2018,1
2018111317,2018-11-13 17:00:00,17,13,46,11,2018,1
2018111318,2018-11-13 18:00:00,18,13,46,11,2018,1
2018111319,2018-11-13 19:00:00,19,13,46,11,2018,1
2018111320,2018-11-13 20:00:00,20,13,46,11,2018,1
2018111321,2018-11-13 21:00:00,21,13,46,11,2018,1
2018111322,2018-11-13 22:00:00,22,13,46,11,2018,1
2018111323,2018-11-13 23:00:00,23,13,46,11,2018,1
2018111400,2018-11-14 00:00:00,0,14,46,11,2018,2
2018111401,2018-11-14 01:00:00,1,14,46,11,2018,2
2018111402,2018-11-14 02:00:00,2,14,46,11,2018,2
2018111403,2018-11-14 03:00:00,3,14,46,11,2018,2
2018111404,2018-11-14 04:00:00,4,14,46,11,2018,2
2018111405,2018-11-14 05:00:00,5,14,46,11,2018,2
2018111406,2018-11-14 06:00:00,6,14,46,11,2018,2
2018111407,2018-11-14 07:00:00,7,14,46,11,2018,2
2018111408,2018-11-14 08:00:00,8,14,46,11,2018,2
2018111409,2018-11-14 09:00:00,9,14,46,11,2018,2
2018111410,2018-11-14 10:00:00,10,14,46,11,2018,2
2018111411,2018-11-14 11:00:00,11,14,46,11,2018,2
2018111412,2018-11-14 12:00:00,12,14,46,11,2018,2
2018111413,2018-11-14 13:00:00,13,14,46,11,2018,2
2018111414,2018-11-14 14:00:00,14,14,46,11,2018,2
2018111415,2018-11-14 15:00:00,15,14,46,11,2018,2
2018111416,2018-11-14 16:00:00,16,14,46,11,2018,2
2018111417,2018-11-14 17:00:00,17,14,46,11,2018,2
2018111418,2018-11-14 18:00:00,18,14,46,11,2018,2
2018111419,2018-11-14 19:00:00,19,14,46,11,2018,2
2018111420,2018-11-14 20:00:00,20,14,46,11,2018,2
2018111421,2018-11-14 21:00:00,21,14,46,11,2018,2
2018111422,2018-11-14 22:00:00,22,14,46,11,2018,2
2018111423,2018-11-14 23:00:00,23,14,46,11,2018,2
2018111500,2018-11-15 00:00:00,0,15,46,11,2018,3
2018111501,2018-11-15 01:00:00,1,15,46,11,2018,3
2018111502,2018-11-15 02:00:00,2,15,46,11,2018,3
2018111503,2018-11-15 03:00:00,3,15,46,11,2018,3
2018111504,2018-11-15 04:00:00,4,15,46,11,2018,3
2018111505,2018-11-15 05:00:00,5,15,46,11,2018,3
2018111506,2018-11-15 06:00:00,6,15,46,11,2018,3
2018111507,2018-11-15 07:00:00,7,15,46,11,2018,3
2018111508,2018-11-15 08:00:00,8,15,46,11,2018,3
2018111509,2018-11-15 09:00:00,9,15,46,11,2018,3
2018111510,2018-11-15 10:00:00,10,15,46,11,2018,3
2018111511,2018-11-15 11:00:00,11,15,46,11,2018,3
2018111512,2018-11-15 12:00:00,12,15,46,11,2018,3
2018111513,2018-11-15 13:00:00,13,15,46,11,2018,3
2018111514,2018-11-15 14:00:00,14,15,46,11,2018,3
2018111515,2018-11-15 15:00:00,15,15,46,11,2018,3
2018111516,2018-11-15 16:00:00,16,15,46,11,2018,3
2018111517,2018-11-15 17:00:00,17,15,46,11,2018,3
2018111518,2018-11-15 18:00:00,18,15,46,11,2018,3
2018111519,2018-11-15 19:00:00,19,15,46,11,2018,3
2018111520,2018-11-15 20:00:00,20,15,46,11,2018,3
2018111521,2018-11-15 21:00:00,21,15,46,11,2018,3
2018111522,2018-11-15 22:00:00,22,15,46,11,2018,3
2018111523,2018-11-15 23:00:00,23,15,46,11,2018,3
2018111600,2018-11-16 00:00:00,0,16,46,11,2018,4
2018111601,2018-11-16 01:00:00,1,16,46,11,2018,4
2018111602,2018-11-16 02:00:00,2,16,46,11,2018,4
2018111603,2018-11-16 03:00:00,3,16,46,11,2018,4
2018111604,2018-11-16 04:00:00,4,16,46,11,2018,4
2018111605,2018-11-16 05:00:00,5,16,46,11,2018,4
2018111606,2018-11-16 06:00:00,6,16,46,11,2018,4
2018111607,2018-11-16 07:00:00,7,16,46,11,2018,4
2018111608,2018-11-16 08:00:00,8,16,46,11,2018,4
2018111609,2018-11-16 09:00:00,9,16,46,11,2018,4
2018111610,2018-11-16 10:00:00,10,16,46,11,2018,4
2018111611,2018-11-16 11:00:00,11,16,46,11,2018,4
2018111612,2018-11-16 12:00:00,12,16,46,11,2018,4
2018111613,2018-11-16 13:00:00,13,16,46,11,2018,4
2018111614,2018-11-16 14:00:00,14,16,46,11,2018,4
2018111615,2018-11-16 15:00:00,15,16,46,11,2018,4
2018111616,2018-11-16 16:00:00,16,16,46,11,2018,4
2018111617,2018-11-16 17:00:00,17,16,46,11,2018,4
2018111618,2018-11-16 18:00:00,18,16,46,11,2018,4
2018111619,2018-11-16 19:00:00,19,16,46,11,2018,4
2018111620,2018-11-16 20:00:00,20,16,46,11,2018,4
2018111621,2018-11-16 21:00:00,21,16,46,11,2018,4
2018111622,2018-11-16 22:00:00,22,16,46,11,2018,4
2018111623,2018-11-16 23:00:00,23,16,46,11,2018,4
2018111700,2018-11-17 00:00:00,0,17,46,11,2018,5
2018111701,2018-11-17 01:00:00,1,17,46,11,2018,5
2018111702,2018-11-17 02:00:00,2,17,46,11,2018,5
2018111703,2018-11-17 03:00:00,3,17,46,11,2018,5
2018111704,2018-11-17 04:00:00,4,17,46,11,2018,5
2018111705,2018-11-17 05:00:00,5,17,46,11,2018,5
2018111706,2018-11-17 06:00:00,6,17,46,11,2018,5
2018111707,2018-11-17 07:00:00,7,17,46,11,2018,5
2018111708,2018-11-17 08:00:00,8,17,46,11,2018,5
2018111709,2018-11-17 09:00:00,9,17,46,11,2018,5
2018111710,2018-11-17 10:00:00,10,17,46,11,2018,5
2018111711,2018-11-17 11:00:00,11,17,46,11,2018,5
2018111712,2018-11-17 12:00:00,12,17,46,11,2018,5
2018111713,2018-11-17 13:00:00,13,17,46,11,2018,5
2018111714,2018-11-17 14:00:00,14,17,46,11,2018,5
2018111715,2018-11-17 15:00:00,15,17,46,11,2018,5
2018111716,2018-11-17 16:00:00,16,17,46,11,2018,5
2018111717,2018-11-17 17:00:00,17,17,46,11,2018,5
2018111718,2018-11-17 18:00:00,18,17,46,11,2018,5
2018111719,2018-11-17 19:00:00,19,17,46,11,2018,5
2018111720,2018-11-17 20:00:00,20,17,46,11,2018,5
2018111721,2018-11-17 21:00:00,21,17,46,11,2018,5
2018111722,2018-11-17 22:00:00,22,17,46,11,2018,5
2018111723,2018-11-17 23:00:00,23,17,46,11,2018,5
2018111800,2018-11-18 00:00:00,0,18,46,11,2018,6
2018111801,2018-11-18 01:00:00,1,18,46,11,2018,6
2018111802,2018-11-18 02:00:00,2,18,46,11,2018,6
2018111803,2018-11-18 03:00:00,3,18,46,11,2018,6
2018111804,2018-11-18 04:00:00,4,18,46,11,2018,6
2018111805,2018-11-18 05:00:00,5,18,46,11,2018,6
2018111806,2018-11-18 06:00:00,6,18,46,11,2018,6
2018111807,2018-11-18 07:00:00,7,18,46,11,2018,6
2018111808,2018-11-18 08:00:00,8,18,46,11,2018,6
